"","sender_id","receiver_name"
"1072",NA,115874
"1073",NA,122539
"1074",NA,125883
"1075",NA,130802
"1076",NA,10021
"1077",NA,15879
"1078",NA,17685
"1079",NA,27684
"1080",NA,39368
"1081",NA,43748
"1082",NA,66352
"1083",NA,70539
"1084",NA,83024
"1085",NA,84291
"1086",NA,96729
"1087",NA,36927
"1088",NA,38979
"1089",NA,44575
"1090",NA,56042
"1091",NA,57837
"1092",NA,111028
"1093",NA,114492
"1094",NA,117712
"1095",NA,122029
"1096",NA,122539
"1097",NA,135353
"1098",NA,29068
"1099",NA,31287
"1100",NA,70802
"1101",NA,118933
"1102",NA,128155
"1103",NA,132324
"1104",NA,7409
"1105",NA,15330
"1106",NA,58806
"1107",NA,115078
"1108",NA,122539
"1109",NA,28387
"1110",NA,36927
"1111",NA,54997
"1112",NA,100420
"1113",NA,122270
"1114",NA,122539
"1115",NA,41130
"1116",NA,91911
"1117",NA,103498
"1118",NA,111492
"1119",NA,12070
"1120",NA,22785
"1121",NA,45182
"1122",NA,56042
"1123",NA,63721
"1124",NA,68317
"1125",NA,89822
"1126",NA,95678
"1127",NA,105379
"1128",NA,118933
"1129",NA,127365
"1130",NA,4885
"1131","alberto.baldan",105884
"1132","chiara.moretti",7409
"1133","chiara.moretti",15330
"1134","chiara.moretti",15879
"1135","chiara.moretti",24673
"1136","chiara.moretti",29068
"1137","chiara.moretti",39368
"1138","chiara.moretti",43748
"1139","chiara.moretti",49878
"1140","chiara.moretti",58806
"1141","chiara.moretti",70539
"1142","chiara.moretti",80324
"1143","chiara.moretti",83024
"1144","chiara.moretti",90622
"1145","chiara.moretti",96729
"1146",NA,12070
"1147",NA,27684
"1148",NA,45182
"1149",NA,56042
"1150",NA,66936
"1151",NA,76692
"1152",NA,87738
"1153",NA,90060
"1154",NA,121221
"1155",NA,127351
"1156",NA,101336
"1157",NA,123766
"1158",NA,825
"1159",NA,2088
"1160",NA,2667
"1161",NA,4089
"1162",NA,10078
"1163",NA,102041
"1164",NA,4089
"1165",NA,77832
"1166",NA,85053
"1167",NA,103498
"1168",NA,7409
"1169",NA,15330
"1170",NA,39739
"1171",NA,43748
"1172",NA,58806
"1173",NA,12070
"1174",NA,45182
"1175",NA,56042
"1176",NA,90060
"1177",NA,121221
"1178","fabio.boldrin",10341
"1179",NA,7409
"1180",NA,9902
"1181",NA,15330
"1182",NA,31199
"1183",NA,36927
"1184",NA,39244
"1185",NA,85053
"1186",NA,102298
"1187",NA,122539
"1188",NA,19426
"1189",NA,65430
"1190",NA,15330
"1191",NA,22508
"1192",NA,36927
"1193",NA,43748
"1194",NA,104610
"1195",NA,122539
"1196",NA,15738
"1197",NA,43345
"1198",NA,111888
"1199",NA,129372
"1200",NA,120919
"1201",NA,126462
"1202",NA,39551
"1203",NA,87261
"1204",NA,102914
"1205",NA,56042
"1206",NA,103498
"1207",NA,117716
"1208",NA,122539
"1209",NA,23390
"1210",NA,45548
"1211",NA,58855
"1212",NA,56042
"1213",NA,88740
"1214",NA,89144
"1215",NA,15879
"1216",NA,39368
"1217",NA,54997
"1218",NA,70539
"1219",NA,83024
"1220",NA,96729
"1221",NA,106272
"1222",NA,134066
"1223",NA,36927
"1224",NA,42711
"1225",NA,51960
"1226",NA,59050
"1227",NA,120215
"1228",NA,122539
"1229",NA,123593
"1230",NA,5436
"1231",NA,92371
"1232",NA,54921
"1233",NA,76097
"1234",NA,29233
"1235","luca.biolo",22254
"1236","luca.biolo",35570
"1237","luca.biolo",108873
"1238",NA,71637
"1239",NA,76647
"1240",NA,23390
"1241",NA,45548
"1242",NA,78308
"1243","fabio.boldrin",4866
"1244",NA,28070
"1245",NA,27994
"1246",NA,58806
"1247",NA,74737
"1248",NA,16407
"1249",NA,77832
"1250",NA,126295
"1251",NA,36927
"1252",NA,120215
"1253",NA,122539
"1254",NA,15879
"1255",NA,16458
"1256",NA,22437
"1257",NA,29068
"1258",NA,31287
"1259",NA,39368
"1260",NA,41894
"1261",NA,54997
"1262",NA,70539
"1263",NA,83905
"1264",NA,84291
"1265",NA,96729
"1266",NA,99112
"1267",NA,115874
"1268",NA,117889
"1269",NA,118933
"1270",NA,128038
"1271",NA,129480
"1272",NA,21265
"1273",NA,102914
"1274",NA,109490
"1275","fabio.boldrin",4401
"1276","fabio.boldrin",43748
"1277","fabio.boldrin",46296
"1278","fabio.boldrin",56042
"1279","fabio.boldrin",105599
"1280","fabio.boldrin",119272
"1281",NA,36927
"1282",NA,103498
"1283",NA,121221
"1284",NA,122539
"1285","fabio.boldrin",7409
"1286","fabio.boldrin",15330
"1287","fabio.boldrin",43748
"1288","fabio.boldrin",49878
"1289","fabio.boldrin",53469
"1290","fabio.boldrin",56603
"1291","fabio.boldrin",58806
"1292","fabio.boldrin",70539
"1293","fabio.boldrin",80324
"1294","fabio.boldrin",81591
"1295","fabio.boldrin",96729
"1296","fabio.boldrin",124884
"1297",NA,15130
"1298",NA,36927
"1299",NA,52425
"1300",NA,56042
"1301",NA,75760
"1302",NA,122539
"1303",NA,19426
"1304",NA,65430
"1305",NA,7409
"1306",NA,8145
"1307",NA,9902
"1308",NA,12070
"1309",NA,15330
"1310",NA,22495
"1311",NA,23394
"1312",NA,23513
"1313",NA,26080
"1314",NA,27862
"1315",NA,29068
"1316",NA,36927
"1317",NA,43028
"1318",NA,43748
"1319",NA,45182
"1320",NA,45655
"1321",NA,47809
"1322",NA,50807
"1323",NA,50966
"1324",NA,56042
"1325",NA,58806
"1326",NA,59165
"1327",NA,64454
"1328",NA,65743
"1329",NA,66659
"1330",NA,67873
"1331",NA,68021
"1332",NA,76692
"1333",NA,77341
